69899,70041,69969,70064,70113,70224,70155,70279,70425,70527,70560,70673,70730,70816,70872,70968,71057,71202,71138,71239,71217,71369,71346,71448
73834,73944,73905,73994,74073,74200,74117,74239,74330,74431,74465,74560,74608,74714,74745,74856,74922,75072,75017,75129,75105,75232,75217,75289
75889,76088,76028,76127,76162,76271,76253,76353,76377,76472,76505,76608,76637,76721,76762,76857,76881,77040,76978,77097,77073,77192,77216,77280
78025,78168,78120,78208,78257,78385,78346,78439,78465,78544,78617,78712,78737,78832,78888,78992,79042,79185,79122,79224,79265,79384,79457,79561
80069,80249,80193,80304,80394,80504,80482,80583,80608,80689,80764,80824,80915,80992,81283,81359,81435,81584,81529,81624,81603,81720,81817,81868
115930,116048,115993,116080,116128,116305,116185,116306,116344,116480,116458,116568,116594,116673,116698,116800,116785,116936,116881,117000,116985,117104,117082,117160
117634,117792,117720,117823,117858,117979,117937,118047,118082,118168,118193,118288,118321,118511,118511,118527,118569,118720,118641,118761,118746,118842,118810,118911
119298,119456,119377,119480,119618,119641,119619,119703,119721,119808,119826,119946,119929,120033,120065,120171,120202,120369,120297,120392,120410,120496,120561,120639
121250,121464,121377,121488,121505,121639,121586,121695,121713,121799,121824,121919,121938,122016,122041,122144,122170,122311,122273,122338,122355,122504,122520,122592
123048,123199,123137,123231,123257,123375,123345,123448,123465,123543,123561,123656,123682,123783,123809,123920,123946,124112,124044,124152,124131,124209,124233,124304
619121,619273,619217,619296,619329,619455,619387,619496,619473,619552,619577,619664,619641,619729,619746,619840,619874,620012,619970,620064,620041,620160,620136,620224
620489,620616,620552,620660,620647,620765,620731,620825,620779,620872,620905,621008,621024,621136,621113,621208,621233,621370,621307,621416,621393,621488,621665,621753
622129,622281,622224,622319,622297,622432,622400,622505,622483,622561,622586,622696,622730,622843,622873,622968,623012,623145,623082,623185,623169,623280,623265,623353
625588,625745,625698,625792,625866,626000,625946,626049,626146,626239,626258,626360,626378,626463,626504,626600,626625,626776,626754,626816,626801,626888,626921,627071
627445,627600,627522,627626,627650,627832,627753,627856,627816,627912,628017,628129,628209,628336,628473,628561,628587,628736,629065,629136,629160,629272,629291,629369
1217021,1217160,1217137,1217208,1217250,1217396,1217353,1217448,1217497,1217642,1217609,1217744,1217722,1217826,1217850,1217959,1217979,1218136,1218073,1218176,1218162,1218282,1218242,1218344
