20071,20187,20181,20300,20372,20508,20477,20564,20605,20765,20749,20851,20852,20988,20989,21107,21125,21243,21228,21324,21366,21484,21509,21604
22405,22499,22492,22605,22613,22716,22693,22789,22796,22948,22956,23060,23132,23244,23300,23371,23557,23692,23684,23780,23836,23924,23933,23996
24684,24788,24773,24884,24884,24996,24974,25060,25077,25260,25244,25355,25428,25532,25606,25684,25772,25892,25877,25964,25973,26093,26125,26212
26972,27076,27085,27187,27212,27340,27316,27404,27421,27580,27566,27692,27764,27860,27940,28044,28084,28204,28188,28268,28300,28412,28436,28508
29133,29228,29220,29324,29341,29461,29427,29500,29549,29724,29716,29836,29981,30076,30173,30276,30324,30444,30430,30508,30564,30676,30716,30797
145183,145291,145309,145422,145452,145572,145541,145638,145693,145838,145832,145918,145982,146077,146136,146237,146391,146518,146512,146598,146649,146734,146767,146828
147408,147521,147519,147606,147599,147701,147697,147767,147784,147912,147920,148006,148040,148134,148168,148281,148280,148398,148374,148462,148488,148581,148591,148669
149301,149414,149408,149503,149500,149588,149582,149670,149682,149789,149775,149869,149914,150006,150015,150126,150160,150270,150256,150326,150335,150454,150494,150572
151249,151354,151356,151439,151455,151551,151536,151620,151645,151780,151757,151886,151959,152036,152064,152159,152224,152310,152295,152383,152400,152518,152536,152599
153156,153270,153265,153358,153369,153481,153455,153535,153570,153703,153669,153782,153851,153934,153992,154071,154184,154302,154294,154374,154403,154518,154536,154590
360215,360318,360846,360950,361007,361117,361111,361165,361224,361373,361337,361471,361489,361598,361580,361709,361710,361815,361800,361872,361921,362037,362037,362109
362696,362806,362801,362894,362874,362996,362989,363060,363112,363263,363259,363350,363409,363516,363574,363624,363711,363822,363810,363902,363930,364030,364041,364108
364712,364813,364805,364910,364895,365014,364999,365076,365093,365238,365214,365326,365410,365524,365534,365631,365687,365815,365811,365887,365911,366014,366027,366084
366584,366686,366671,366775,366768,366878,366871,366950,366959,367077,367063,367182,367257,367344,367440,367518,367600,367702,367695,367767,367810,367902,367919,367993
368533,368654,368647,368735,368751,368859,368844,368900,368941,369068,369052,369164,369206,369335,369351,369439,369473,369607,369599,369686,369730,369838,369866,369928
538786,538894,538879,538985,539021,539148,539102,539186,539245,539382,539344,539462,539480,539605,539601,539678,539772,539878,539864,539952,539986,540094,540104,540183
541707,541807,542151,542253,542295,542390,542383,542462,542446,542598,542576,542694,542723,542857,542832,542976,542978,543092,543069,543141,543169,543277,543286,543366
543811,543926,543911,544031,544023,544135,544112,544199,544207,544351,544320,544446,544490,544606,544663,544743,544992,545142,545135,545239,545319,545423,545448,545502
546118,546225,546216,546328,546331,546428,546427,546510,546503,546641,546632,546758,546811,546925,546949,547071,547103,547215,547195,547270,547295,547431,547443,547519
548094,548189,548176,548278,548294,548396,548365,548454,548487,548614,548564,548678,548735,548846,548875,548992,549053,549156,549108,549205,549230,549342,549377,549455
949854,949983,949959,950087,950117,950230,950240,950327,950367,950533,950495,950613,950631,950758,950743,950845,950887,951007,950975,951062,951095,951208,951233,951295
951869,951989,951997,952101,952109,952223,952214,952270,952303,952430,952399,952518,952561,952679,952687,952767,952816,952932,952917,953008,953030,953150,953163,953246
953705,953792,953783,953876,953893,953998,953995,954062,954087,954199,954167,954286,954352,954462,954480,954567,954629,954743,954730,954814,954877,954966,954993,955038
955561,955680,955655,955765,955763,955878,955847,955942,955963,956070,956048,956164,956208,956318,956351,956446,956551,956646,956600,956712,956767,956870,956926,956990
957519,957639,957631,957727,957751,957869,957860,957924,957969,958100,958071,958174,958343,958446,958560,958647,958697,958806,958791,958848,958870,958957,959013,959068
964831,964954,964956,965044,965037,965133,965154,965230,965238,965368,965337,965438,965447,965567,965544,965670,965687,965791,965775,965839,965863,965974,966007,966068
966492,966609,966591,966678,966671,966758,966769,966853,966894,967012,966960,967085,967139,967238,967271,967358,967439,967558,967527,967623,967631,967744,967746,967830
968268,968382,968369,968471,968491,968589,968583,968646,968791,968950,969167,969278,969405,969488,969536,969630,969701,969813,969798,969862,969895,970006,970015,970092
970580,970688,970680,970774,970768,970874,970879,970942,970968,971101,971059,971165,971244,971351,971408,971511,971644,971750,971712,971814,971859,971942,971951,972030
972540,972643,972640,972739,972732,972844,972836,972915,972924,973070,973031,973148,973378,973454,973600,973686,973766,973878,973863,973938,973940,974038,974080,974180
